"","game_id","player","obs_beta","null_mean","null_sd","p_value"
"242",401584876,"Brandon Miller",-37.1321370182328,-5.93113616719912,16.3516040313716,0.968973747016706
"243",401584876,"Franz Wagner",19.4674562317833,2.5716934567304,20.2855410151543,0.0140280561122244
"244",401584876,"Miles Bridges",-18.5468977393716,-4.56126364558601,15.3093420409397,0.780918727915194
"245",401584876,"Paolo Banchero",NA,-2.97635603847411,16.4789687703656,NA
"246",401584910,"Cam Thomas",-15.1797740613474,-12.9202383658631,9.51938486199298,0.179738562091503
"247",401584910,"Franz Wagner",NA,-16.6863176604643,12.4470763383224,NA
"248",401584910,"Mikal Bridges",18.1606033994576,0.066092548919623,16.1930267572899,0.0612244897959184
"249",401584910,"Paolo Banchero",NA,-1.05322414967593,18.3624548804422,NA
"250",401584929,"Brandon Ingram",NA,-13.1426402819513,15.5519245697699,NA
"251",401584929,"CJ McCollum",-0.405465108108165,-8.30834725565241,16.3450852301147,0.382124352331606
"252",401584929,"Zion Williamson",-0.510825623765992,1.01135013145586,8.43264827749471,0.608
"253",401584954,"Brandon Ingram",NA,-14.7679332842135,19.9274483513156,NA
"254",401584954,"Brandon Miller",17.1606033787127,-7.52205138830228,15.6965156985769,0.130671506352087
"255",401584954,"CJ McCollum",NA,-10.155718404986,12.5582794365932,NA
"256",401584954,"Miles Bridges",NA,-7.3398761370398,13.9205702307689,NA
"257",401584954,"Zion Williamson",-17.8537505588128,-6.30477532408543,11.2296379744058,0.748275862068966
"258",401584968,"Michael Porter Jr.",NA,-6.63676642278012,15.1530729506207,NA
"259",401584968,"Nikola Jokic",1.20397280432594,-10.9769499778328,14.2059823839121,0.110126582278481
"260",401584968,"Shai Gilgeous-Alexander",19.2592156928149,-7.28095365520167,14.2711352660529,0.00425531914893617
"261",401585031,"Anthony Davis",-0.405465108108164,-2.93214330156955,11.0604944916676,0.465256797583082
"262",401585031,"D'Angelo Russell",-49.1321382341235,-16.5543924483459,25.278770678537,1
"263",401585031,"Jaylen Brown",-17.5660684863611,-11.492727463438,12.8607872956016,0.774647887323944
"264",401585031,"Jayson Tatum",-15.9566305739272,-10.5617890196927,16.28710366387,0.628712871287129
"265",401585031,"LeBron James",NA,-15.3600198593073,11.1050583978736,NA
"266",401585117,"Bam Adebayo",15.8729212416379,-1.54585382918881,14.231362288261,0.2711157455683
"267",401585117,"Devin Booker",-15.649777690592,-10.995058791872,18.4524766294825,0.332880434782609
"268",401585131,"Devin Booker",-1.09817891308092e-15,-8.02337492576219,15.4705373341987,0.300822561692127
"269",401585131,"Jaren Jackson Jr.",18.3429249516006,-2.8726381002593,14.9242336249078,0.106681034482759
"270",401585131,"Kevin Durant",-17.4325370937354,-6.8378102055222,16.4187263457139,0.81042654028436
"271",401585278,"Anthony Davis",19.0768941351598,-5.2414522108786,13.3969735476293,0.0123609394313968
"272",401585278,"D'Angelo Russell",-15.8729212419067,-8.18432819056124,15.7323229816859,0.446254071661238
"273",401585278,"Klay Thompson",-16.0552427986994,-10.1686301730813,14.7708932646314,0.382303839732888
"274",401585278,"LeBron James",-1.79175946922489,-4.14078573955892,14.5685677312887,0.515151515151515
"275",401585278,"Stephen Curry",-18.3653978143941,11154781482173.8,317175709681032,0.77319587628866
"276",401585312,"D'Angelo Russell",-18.8537505823172,-10.7396218448872,13.663520261498,0.961240310077519
"277",401585312,"Jaylen Brown",NA,-8.80768128386794,13.469321981942,NA
"278",401585312,"Jayson Tatum",NA,-9.88096917079954,12.7489138792357,NA
"279",401585528,"Shai Gilgeous-Alexander",-19.4133663702456,-0.876369107277144,14.2319792081516,0.737435897435897
"280",401585631,"Kawhi Leonard",-17.4674562285997,-3.63462672720543,20.7894893598033,0.641573033707865
"281",401585631,"Paul George",-16.8537504949204,-6.98141285472212,19.7208413737574,0.572519083969466
"282",401585697,"Devin Booker",7.32824481043609e-12,-8.3294636946217,12.8560312887984,0.108108108108108
"283",401585697,"Kevin Durant",-18.2592156669147,-2.2446100152849,19.6197625835434,0.656716417910448
"284",401607494,"Damian Lillard",-17.1606033782485,-10.6522209527797,12.2889593109805,0.920103092783505
"285",401607494,"Giannis Antetokounmpo",17.1797741502809,3.51818320919607,11.075427076076,0.274549098196393
"286",401607494,"Tyrese Haliburton",-39.1321370373937,-6.26301867213058,10.8491694172718,0.998950682056663
"287",401616474,"Donovan Mitchell",17.4674562235757,-7.43363309744787,18.7034630028035,0.0805134189031505
"288",401704760,"Bam Adebayo",-5.94036153716435e-13,-5.09440363297655,15.3669821341391,0.358851674641148
"289",401704760,"Jamal Murray",NA,-4.1916987463335,15.4039636610905,NA
"290",401704760,"Michael Porter Jr.",-19.5660685185106,-9.02935215827105,13.1256130938895,0.708010335917313
"291",401704760,"Nikola Jokic",-18.9566306083829,-3.64853913511782,18.8174505975135,0.529
"292",401704760,"Tyler Herro",-17.9715335944695,-5.93061442659794,13.8391541277369,0.945679012345679
"293",401704785,"Coby White",NA,-10.5749006432851,13.2880059614599,NA
"294",401704785,"Jalen Brunson",-17.2592156030249,-8.91653442888379,13.4629213491705,0.662773722627737
"295",401704785,"Karl-Anthony Towns",-17.9715335944675,0.874453699656396,10.9285852289796,0.890890890890891
"296",401704785,"Mikal Bridges",-16.467456197689,-8.89266200431295,17.884306310533,0.34793491864831
"297",401704785,"Nikola Vucevic",16.6201583593357,1.52031260388033,20.6885305151645,0.489051094890511
"298",401704785,"OG Anunoby",NA,-13.2257016697651,14.990963491362,NA
"299",401704785,"Zach LaVine",-2.44937889918121e-09,-1.70808347849571,7.25211179408378,0.462
