"","player","athlete_id_1","game_id","season_end","make","shot_dist","is_opportunity","dist_category","shot_number","lag1","lag2","lag3","prev3_sum"
"179","Andrew Wiggins",3059319,401410564,"2022",1,25.4950975679639,0,"ThreePoint",5,1,1,0,2
"180","Andrew Wiggins",3059319,401410564,"2022",0,25.5538646783613,1,"ThreePoint",6,1,1,1,3
"181","Andrew Wiggins",3059319,401410564,"2022",1,27.8028775489157,0,"ThreePoint",7,0,1,1,2
"182","Anthony Davis",6583,400827999,"2016",1,0,0,"Close",1,NA,NA,NA,NA
"183","Anthony Davis",6583,400827999,"2016",0,25.8069758011279,0,"ThreePoint",2,1,NA,NA,NA
"184","Anthony Davis",6583,400827999,"2016",0,2.23606797749979,0,"Close",3,0,1,NA,NA
"185","Anthony Davis",6583,400827999,"2016",0,14.142135623731,0,"Midrange",4,0,0,1,1
"186","Anthony Davis",6583,400827999,"2016",0,11.1803398874989,0,"Midrange",5,0,0,0,0
"187","Anthony Davis",6583,400827999,"2016",0,2,0,"Close",6,0,0,0,0
"188","Anthony Davis",6583,400827999,"2016",1,17.4928556845359,0,"Midrange",7,0,0,0,0
"189","Anthony Davis",6583,400827999,"2016",1,20,0,"Midrange",8,1,0,0,1
"190","Anthony Davis",6583,400827999,"2016",1,16.4012194668567,0,"Midrange",9,1,1,0,2
"191","Anthony Davis",6583,400827999,"2016",1,2.23606797749979,1,"Close",10,1,1,1,3
"192","Anthony Davis",6583,400827999,"2016",1,1,1,"Close",11,1,1,1,3
"193","Anthony Davis",6583,400827999,"2016",1,18.8679622641132,1,"Midrange",12,1,1,1,3
"194","Anthony Davis",6583,400827999,"2016",0,14.560219778561,1,"Midrange",13,1,1,1,3
"195","Anthony Davis",6583,400828267,"2016",0,15,0,"Midrange",1,NA,NA,NA,NA
"196","Anthony Davis",6583,400828267,"2016",1,21.095023109729,0,"Midrange",2,0,NA,NA,NA
"197","Anthony Davis",6583,400828267,"2016",1,10,0,"Midrange",3,1,0,NA,NA
"198","Anthony Davis",6583,400828267,"2016",1,7.07106781186548,0,"Close",4,1,1,0,2
"199","Anthony Davis",6583,400828267,"2016",0,0,1,"Close",5,1,1,1,3
"200","Anthony Davis",6583,400828267,"2016",0,0,0,"Close",6,0,1,1,2
"201","Anthony Davis",6583,400828267,"2016",0,25.0798724079689,0,"ThreePoint",7,0,0,1,1
"202","Anthony Davis",6583,400828267,"2016",1,6.08276253029822,0,"Close",8,0,0,0,0
"203","Anthony Davis",6583,400828267,"2016",0,14.142135623731,0,"Midrange",9,1,0,0,1
"204","Anthony Davis",6583,400828267,"2016",0,17.7200451466693,0,"Midrange",10,0,1,0,1
"205","Anthony Davis",6583,400828267,"2016",0,3.60555127546399,0,"Close",11,0,0,1,1
"206","Anthony Davis",6583,400828267,"2016",0,1,0,"Close",12,0,0,0,0
"207","Anthony Davis",6583,400828267,"2016",1,17,0,"Midrange",13,0,0,0,0
"208","Anthony Davis",6583,400828267,"2016",1,18.3847763108502,0,"Midrange",14,1,0,0,1
"209","Anthony Davis",6583,400828710,"2016",1,5.3851648071345,0,"Close",1,NA,NA,NA,NA
"210","Anthony Davis",6583,400828710,"2016",0,19.7989898732233,0,"Midrange",2,1,NA,NA,NA
"211","Anthony Davis",6583,400828710,"2016",0,6.08276253029822,0,"Close",3,0,1,NA,NA
"212","Anthony Davis",6583,400828710,"2016",1,16.2788205960997,0,"Midrange",4,0,0,1,1
"213","Anthony Davis",6583,400828710,"2016",1,7,0,"Close",5,1,0,0,1
"214","Anthony Davis",6583,400828710,"2016",1,5.3851648071345,0,"Close",6,1,1,0,2
"215","Anthony Davis",6583,400828710,"2016",0,5.09901951359278,1,"Close",7,1,1,1,3
"216","Anthony Davis",6583,400828710,"2016",1,0,0,"Close",8,0,1,1,2
"217","Anthony Davis",6583,400828710,"2016",0,0,0,"Close",9,1,0,1,2
"218","Anthony Davis",6583,400828710,"2016",1,0,0,"Close",10,0,1,0,1
"219","Anthony Davis",6583,400828710,"2016",1,21.0237960416286,0,"Midrange",11,1,0,1,2
"220","Anthony Davis",6583,400828710,"2016",1,0,0,"Close",12,1,1,0,2
"221","Anthony Davis",6583,400828710,"2016",1,15,1,"Midrange",13,1,1,1,3
"222","Anthony Davis",6583,400828710,"2016",1,0,1,"Close",14,1,1,1,3
"223","Anthony Davis",6583,400828710,"2016",0,0,1,"Close",15,1,1,1,3
"224","Anthony Davis",6583,400828710,"2016",0,19.9248588451713,0,"Midrange",16,0,1,1,2
"225","Anthony Davis",6583,400828710,"2016",1,7.07106781186548,0,"Close",17,0,0,1,1
"226","Anthony Davis",6583,400828710,"2016",1,0,0,"Close",18,1,0,0,1
"227","Anthony Davis",6583,400828710,"2016",1,13.0384048104053,0,"Midrange",19,1,1,0,2
"228","Anthony Davis",6583,400828710,"2016",1,0,1,"Close",20,1,1,1,3
"229","Anthony Davis",6583,400828710,"2016",0,18.0277563773199,1,"Midrange",21,1,1,1,3
"230","Anthony Davis",6583,400828710,"2016",0,10,0,"Midrange",22,0,1,1,2
"231","Anthony Davis",6583,400828710,"2016",1,1,0,"Close",23,0,0,1,1
"232","Anthony Davis",6583,400828710,"2016",1,26.5706605111728,0,"ThreePoint",24,1,0,0,1
"233","Anthony Davis",6583,400828710,"2016",1,7.07106781186548,0,"Close",25,1,1,0,2
"234","Anthony Davis",6583,400828710,"2016",1,17.464249196573,1,"Midrange",26,1,1,1,3
"235","Anthony Davis",6583,400828710,"2016",0,17,1,"Midrange",27,1,1,1,3
"236","Anthony Davis",6583,400828710,"2016",1,13.6014705087354,0,"Midrange",28,0,1,1,2
"237","Anthony Davis",6583,400828710,"2016",0,11.6619037896906,0,"Midrange",29,1,0,1,2
"238","Anthony Davis",6583,400828710,"2016",1,21.4709105535839,0,"Midrange",30,0,1,0,1
"239","Anthony Davis",6583,400828710,"2016",1,8.54400374531753,0,"Midrange",31,1,0,1,2
"240","Anthony Davis",6583,400828710,"2016",1,0,0,"Close",32,1,1,0,2
"241","Anthony Davis",6583,400828710,"2016",1,24.0831891575846,1,"ThreePoint",33,1,1,1,3
"242","Anthony Davis",6583,400828710,"2016",1,13.8924439894498,1,"Midrange",34,1,1,1,3
"243","Anthony Davis",6583,400935635,"2017",1,21.0237960416286,0,"Midrange",1,NA,NA,NA,NA
"244","Anthony Davis",6583,400935635,"2017",0,26,0,"ThreePoint",2,1,NA,NA,NA
"245","Anthony Davis",6583,400935635,"2017",1,2,0,"Close",3,0,1,NA,NA
