"","player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes","season_end","total_shots","total_makes","opp_pct","other_attempts","other_makes","other_pct","diff"
"211","Andrew Wiggins",3059319,400828591,0,0,2016,11,2,NA,11,2,0.181818181818182,NA
"212","Andrew Wiggins",3059319,400828606,0,0,2016,18,3,NA,18,3,0.166666666666667,NA
"213","Andrew Wiggins",3059319,400828621,4,4,2016,20,13,1,16,9,0.5625,0.4375
"214","Andrew Wiggins",3059319,400828632,4,3,2016,21,12,0.75,17,9,0.529411764705882,0.220588235294118
"215","Andrew Wiggins",3059319,400828653,2,1,2016,17,8,0.5,15,7,0.466666666666667,0.0333333333333333
"216","Andrew Wiggins",3059319,400828669,2,1,2016,14,5,0.5,12,4,0.333333333333333,0.166666666666667
"217","Andrew Wiggins",3059319,400828684,0,0,2016,18,8,NA,18,8,0.444444444444444,NA
"218","Andrew Wiggins",3059319,400828697,0,0,2016,10,5,NA,10,5,0.5,NA
"219","Andrew Wiggins",3059319,400828708,1,0,2016,20,8,0,19,8,0.421052631578947,-0.421052631578947
"220","Andrew Wiggins",3059319,400828725,0,0,2016,11,5,NA,11,5,0.454545454545455,NA
"221","Andrew Wiggins",3059319,400828736,3,2,2016,19,9,0.666666666666667,16,7,0.4375,0.229166666666667
"222","Andrew Wiggins",3059319,400828757,0,0,2016,15,5,NA,15,5,0.333333333333333,NA
"223","Andrew Wiggins",3059319,400828769,0,0,2016,14,5,NA,14,5,0.357142857142857,NA
"224","Andrew Wiggins",3059319,400828791,2,1,2016,11,6,0.5,9,5,0.555555555555556,-0.0555555555555556
"225","Andrew Wiggins",3059319,400828806,0,0,2016,7,3,NA,7,3,0.428571428571429,NA
"226","Andrew Wiggins",3059319,400828813,2,1,2016,14,10,0.5,12,9,0.75,-0.25
"227","Andrew Wiggins",3059319,400828824,2,1,2016,17,11,0.5,15,10,0.666666666666667,-0.166666666666667
"228","Andrew Wiggins",3059319,400828832,0,0,2016,21,9,NA,21,9,0.428571428571429,NA
"229","Andrew Wiggins",3059319,400828855,0,0,2016,19,8,NA,19,8,0.421052631578947,NA
"230","Andrew Wiggins",3059319,400828882,2,1,2016,14,9,0.5,12,8,0.666666666666667,-0.166666666666667
"231","Andrew Wiggins",3059319,400828895,4,3,2016,13,7,0.75,9,4,0.444444444444444,0.305555555555556
"232","Andrew Wiggins",3059319,400828911,2,2,2016,12,8,1,10,6,0.6,0.4
"233","Andrew Wiggins",3059319,400828937,2,1,2016,21,8,0.5,19,7,0.368421052631579,0.131578947368421
"234","Andrew Wiggins",3059319,400828949,2,1,2016,15,10,0.5,13,9,0.692307692307692,-0.192307692307692
"235","Andrew Wiggins",3059319,400828960,0,0,2016,14,4,NA,14,4,0.285714285714286,NA
"236","Andrew Wiggins",3059319,400828974,0,0,2016,12,4,NA,12,4,0.333333333333333,NA
"237","Andrew Wiggins",3059319,400828988,0,0,2016,13,6,NA,13,6,0.461538461538462,NA
"238","Andrew Wiggins",3059319,400829003,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"239","Andrew Wiggins",3059319,400829021,0,0,2016,21,11,NA,21,11,0.523809523809524,NA
"240","Andrew Wiggins",3059319,400829033,4,3,2016,21,12,0.75,17,9,0.529411764705882,0.220588235294118
"241","Andrew Wiggins",3059319,400829050,4,1,2016,19,11,0.25,15,10,0.666666666666667,-0.416666666666667
"242","Andrew Wiggins",3059319,400829063,0,0,2016,12,5,NA,12,5,0.416666666666667,NA
"243","Andrew Wiggins",3059319,400829079,2,1,2016,22,9,0.5,20,8,0.4,0.1
"244","Andrew Wiggins",3059319,400829094,1,0,2016,7,3,0,6,3,0.5,-0.5
"245","Andrew Wiggins",3059319,400829113,2,1,2016,14,8,0.5,12,7,0.583333333333333,-0.0833333333333334
"246","Anthony Davis",6583,400827890,0,0,2016,20,4,NA,20,4,0.2,NA
"247","Anthony Davis",6583,400827902,4,4,2016,16,9,1,12,5,0.416666666666667,0.583333333333333
"248","Anthony Davis",6583,400827922,2,1,2016,17,8,0.5,15,7,0.466666666666667,0.0333333333333333
"249","Anthony Davis",6583,400827943,0,0,2016,11,2,NA,11,2,0.181818181818182,NA
"250","Anthony Davis",6583,400827968,5,4,2016,23,14,0.8,18,10,0.555555555555556,0.244444444444444
"251","Anthony Davis",6583,400827975,1,0,2016,17,9,0,16,9,0.5625,-0.5625
"252","Anthony Davis",6583,400827999,4,3,2016,13,7,0.75,9,4,0.444444444444444,0.305555555555556
"253","Anthony Davis",6583,400828032,1,0,2016,26,14,0,25,14,0.56,-0.56
"254","Anthony Davis",6583,400828050,0,NA,2016,3,0,NA,3,NA,NA,NA
"255","Anthony Davis",6583,400828069,1,0,2016,20,7,0,19,7,0.368421052631579,-0.368421052631579
"256","Anthony Davis",6583,400828085,2,1,2016,21,11,0.5,19,10,0.526315789473684,-0.0263157894736842
"257","Anthony Davis",6583,400828112,3,2,2016,13,10,0.666666666666667,10,8,0.8,-0.133333333333333
"258","Anthony Davis",6583,400828125,1,0,2016,16,7,0,15,7,0.466666666666667,-0.466666666666667
"259","Anthony Davis",6583,400828130,2,0,2016,16,10,0,14,10,0.714285714285714,-0.714285714285714
"260","Anthony Davis",6583,400828153,0,0,2016,14,4,NA,14,4,0.285714285714286,NA
"261","Anthony Davis",6583,400828161,1,0,2016,20,9,0,19,9,0.473684210526316,-0.473684210526316
"262","Anthony Davis",6583,400828175,3,1,2016,22,13,0.333333333333333,19,12,0.631578947368421,-0.298245614035088
"263","Anthony Davis",6583,400828199,1,0,2016,21,8,0,20,8,0.4,-0.4
"264","Anthony Davis",6583,400828226,2,1,2016,15,8,0.5,13,7,0.538461538461538,-0.0384615384615384
"265","Anthony Davis",6583,400828235,2,1,2016,24,8,0.5,22,7,0.318181818181818,0.181818181818182
"266","Anthony Davis",6583,400828253,2,0,2016,18,10,0,16,10,0.625,-0.625
"267","Anthony Davis",6583,400828267,1,0,2016,14,6,0,13,6,0.461538461538462,-0.461538461538462
"268","Anthony Davis",6583,400828283,0,0,2016,12,5,NA,12,5,0.416666666666667,NA
"269","Anthony Davis",6583,400828296,3,1,2016,13,9,0.333333333333333,10,8,0.8,-0.466666666666667
"270","Anthony Davis",6583,400828319,2,1,2016,21,12,0.5,19,11,0.578947368421053,-0.0789473684210527
"271","Anthony Davis",6583,400828323,2,0,2016,29,13,0,27,13,0.481481481481481,-0.481481481481481
"272","Anthony Davis",6583,400828332,0,0,2016,16,8,NA,16,8,0.5,NA
"273","Anthony Davis",6583,400828347,1,0,2016,16,9,0,15,9,0.6,-0.6
"274","Anthony Davis",6583,400828374,1,0,2016,17,7,0,16,7,0.4375,-0.4375
"275","Anthony Davis",6583,400828388,1,0,2016,22,13,0,21,13,0.619047619047619,-0.619047619047619
"276","Anthony Davis",6583,400828418,0,0,2016,24,10,NA,24,10,0.416666666666667,NA
"277","Anthony Davis",6583,400828431,0,NA,2016,2,1,NA,2,NA,NA,NA
"278","Anthony Davis",6583,400828472,0,0,2016,23,8,NA,23,8,0.347826086956522,NA
"279","Anthony Davis",6583,400828485,1,0,2016,14,8,0,13,8,0.615384615384615,-0.615384615384615
